algorithm,generation style,point count,hull size,heuristic,duration (s)
jarvis march,rectangular,32768,23,akl quadrilateral,0.0774007
jarvis march,rectangular,32768,23,akl octahedral,0.0452639
graham scan,rectangular,32768,23,no heuristic,0.0104223
graham scan,rectangular,32768,23,akl quadrilateral,0.0302885
graham scan,rectangular,32768,23,akl octahedral,0.0451733
jarvis march,circular,32768,31756,no heuristic,144.9230202
jarvis march,circular,32768,31756,akl quadrilateral,145.2366403
jarvis march,circular,32768,31756,akl octahedral,144.6873298
graham scan,circular,32768,31756,no heuristic,0.0135627
graham scan,circular,32768,31756,akl quadrilateral,0.0151503
graham scan,circular,32768,31756,akl octahedral,0.0212226
jarvis march,radial,65536,131,no heuristic,1.1964619
jarvis march,radial,65536,131,akl quadrilateral,0.5530221
jarvis march,radial,65536,131,akl octahedral,0.2849626
graham scan,radial,65536,131,no heuristic,0.0320242
graham scan,radial,65536,131,akl quadrilateral,0.1255187
graham scan,radial,65536,131,akl octahedral,0.1730265
jarvis march,rectangular,65536,28,no heuristic,0.2518473
jarvis march,rectangular,65536,28,akl quadrilateral,0.213274
jarvis march,rectangular,65536,28,akl octahedral,0.1811431
graham scan,rectangular,65536,28,no heuristic,0.0285862
graham scan,rectangular,65536,28,akl quadrilateral,0.0975904
graham scan,rectangular,65536,28,akl octahedral,0.1811938
jarvis march,circular,65536,59972,no heuristic,551.6025206
jarvis march,circular,65536,59972,akl quadrilateral,551.9329833
jarvis march,circular,65536,59972,akl octahedral,552.7494591
graham scan,circular,65536,59972,no heuristic,0.0760981
graham scan,circular,65536,59972,akl quadrilateral,0.0767277
graham scan,circular,65536,59972,akl octahedral,0.0784172
jarvis march,radial,131072,162,no heuristic,2.9664245
jarvis march,radial,131072,162,akl quadrilateral,1.6134443
jarvis march,radial,131072,162,akl octahedral,1.0467911
graham scan,radial,131072,162,no heuristic,0.054499
graham scan,radial,131072,162,akl quadrilateral,0.5456529
graham scan,radial,131072,162,akl octahedral,0.7488588
jarvis march,rectangular,131072,37,no heuristic,0.6770903
jarvis march,rectangular,131072,37,akl quadrilateral,0.7458011
jarvis march,rectangular,131072,37,akl octahedral,0.8303045
graham scan,rectangular,131072,37,no heuristic,0.0594808
graham scan,rectangular,131072,37,akl quadrilateral,0.4608369
graham scan,rectangular,131072,37,akl octahedral,0.8223415
jarvis march,circular,131072,105170,no heuristic,1927.5587568
jarvis march,circular,131072,105170,akl quadrilateral,1926.0998021
jarvis march,circular,131072,105170,akl octahedral,1915.6463252
graham scan,circular,131072,105170,no heuristic,0.473985
graham scan,circular,131072,105170,akl quadrilateral,0.4630751
graham scan,circular,131072,105170,akl octahedral,0.4760279
jarvis march,radial,262144,212,no heuristic,7.6943926
jarvis march,radial,262144,212,akl quadrilateral,5.1025311
jarvis march,radial,262144,212,akl octahedral,4.1437336
graham scan,radial,262144,212,no heuristic,0.1237052
graham scan,radial,262144,212,akl quadrilateral,2.3941102
graham scan,radial,262144,212,akl octahedral,3.3588744
jarvis march,rectangular,262144,29,no heuristic,1.0364211
jarvis march,rectangular,262144,29,akl quadrilateral,2.8670701
jarvis march,rectangular,262144,29,akl octahedral,3.7194099
graham scan,rectangular,262144,29,no heuristic,0.1361814
graham scan,rectangular,262144,29,akl quadrilateral,2.5737112
graham scan,rectangular,262144,29,akl octahedral,3.6542089
jarvis march,circular,262144,161177,no heuristic,6171.0878712
jarvis march,circular,262144,161177,akl quadrilateral,6160.4856037
jarvis march,circular,262144,161177,akl octahedral,6150.1059534
graham scan,circular,262144,161177,no heuristic,2.6444733
graham scan,circular,262144,161177,akl quadrilateral,2.6555467
graham scan,circular,262144,161177,akl octahedral,2.6523584
jarvis march,radial,524288,273,no heuristic,20.7794996
jarvis march,radial,524288,273,akl quadrilateral,17.1007639
jarvis march,radial,524288,273,akl octahedral,15.7496075
graham scan,radial,524288,273,no heuristic,0.3147094
graham scan,radial,524288,273,akl quadrilateral,9.748117
graham scan,radial,524288,273,akl octahedral,13.6472303
jarvis march,rectangular,524288,31,no heuristic,2.2822637
jarvis march,rectangular,524288,31,akl quadrilateral,7.6804426
jarvis march,rectangular,524288,31,akl octahedral,14.908151
graham scan,rectangular,524288,31,no heuristic,0.2855138
graham scan,rectangular,524288,31,akl quadrilateral,6.6126202
graham scan,rectangular,524288,31,akl octahedral,15.0145542
jarvis march,circular,524288,215363,no heuristic,16384.7777528
jarvis march,circular,524288,215363,akl quadrilateral,16389.0543473
jarvis march,circular,524288,215363,akl octahedral,16375.6372515
graham scan,circular,524288,215363,no heuristic,10.5554912
graham scan,circular,524288,215363,akl quadrilateral,10.6621283
graham scan,circular,524288,215363,akl octahedral,10.6080224
jarvis march,radial,1048576,337,no heuristic,51.1142078
jarvis march,radial,1048576,337,akl quadrilateral,60.7954244
jarvis march,radial,1048576,337,akl octahedral,64.3312071
graham scan,radial,1048576,337,no heuristic,0.6861383
graham scan,radial,1048576,337,akl quadrilateral,42.4256394
graham scan,radial,1048576,337,akl octahedral,59.9718474
jarvis march,rectangular,1048576,40,no heuristic,5.8980338
jarvis march,rectangular,1048576,40,akl quadrilateral,32.951709
jarvis march,rectangular,1048576,40,akl octahedral,66.1655173
graham scan,rectangular,1048576,40,no heuristic,0.638336
graham scan,rectangular,1048576,40,akl quadrilateral,30.0510097
graham scan,rectangular,1048576,40,akl octahedral,66.1636371
jarvis march,circular,1048576,264665,no heuristic,40379.3424783
jarvis march,circular,1048576,264665,akl quadrilateral,40406.0404406
jarvis march,circular,1048576,264665,akl octahedral,40398.0357824
graham scan,circular,1048576,264665,no heuristic,32.6167109
graham scan,circular,1048576,264665,akl quadrilateral,32.6685239
graham scan,circular,1048576,264665,akl octahedral,32.8487384
jarvis march,radial,2097152,430,no heuristic,129.9909719
jarvis march,radial,2097152,430,akl quadrilateral,267.5188915
jarvis march,radial,2097152,430,akl octahedral,325.1920028
graham scan,radial,2097152,430,no heuristic,1.5656322
graham scan,radial,2097152,430,akl quadrilateral,220.5411797
graham scan,radial,2097152,430,akl octahedral,295.395919
jarvis march,rectangular,2097152,36,no heuristic,10.4772343
